,ax,ay,az,gx,gy,gz,label,segment_ID,animal_ID,timestamp_ms
134,-4.59078,6.59385,-3.42391,6.46341,-20.7927,45.8537,walking,1,fG1,1341
135,-4.38711,6.21288,-3.15077,-2.92683,-22.1341,36.7073,walking,1,fG1,1351
136,-4.19304,6.03797,-2.92554,-7.68293,-21.4634,27.8659,walking,1,fG1,1361
137,-4.12355,6.05235,-2.91835,-10.3049,-17.7439,19.2683,walking,1,fG1,1371
138,-4.32002,6.26559,-3.13639,-13.4756,-13.7195,10.3049,walking,1,fG1,1381
139,-4.85673,6.65854,-3.72821,-17.561,-13.7195,0.670732,walking,1,fG1,1391
140,-5.43178,7.00596,-4.37034,-20.5488,-22.0732,-8.78049,walking,1,fG1,1401
141,-6.15058,7.51152,-5.15144,-20.2439,-36.5854,-17.5,walking,1,fG1,1411
142,-6.81189,7.85655,-5.80316,-10.3049,-54.5122,-25.6707,walking,1,fG1,1421
143,-6.9221,8.549,-6.3231,7.56098,-85.7317,-29.5732,walking,1,fG1,1431
144,-6.57708,9.9962,-5.88463,18.1707,-101.098,-32.561,walking,1,fG1,1441
145,-6.97482,10.7749,-6.6226,22.0122,-93.2317,-39.4512,walking,1,fG1,1451
146,-7.01555,11.5704,-6.83585,27.8659,-85.061,-47.9268,walking,1,fG1,1461
147,-6.33747,11.5943,-6.19132,19.4512,-66.0366,-57.3171,walking,1,fG1,1471
148,-5.38865,10.6575,-4.36795,14.5732,-37.0732,-66.0976,walking,1,fG1,1481
149,-4.54765,9.43553,-3.05972,17.3171,-5.42683,-72.2561,walking,1,fG1,1491
150,-3.96062,8.25908,-2.70271,30.061,26.3415,-77.9878,walking,1,fG1,1501
151,-3.69227,7.37016,-2.46551,42.622,49.878,-84.6951,walking,1,fG1,1511
152,-3.36641,6.91012,-2.85606,48.5976,59.1463,-92.378,walking,1,fG1,1521
153,-2.79855,6.85501,-3.22265,45.3049,60.6707,-98.8415,walking,1,fG1,1531
154,-2.30018,6.94606,-3.45746,36.6463,59.6341,-100.427,walking,1,fG1,1541
155,-2.03901,7.61216,-3.35203,27.5,59.0244,-95.6707,walking,1,fG1,1551
156,-2.38404,8.95153,-3.43829,13.1098,53.6585,-83.7195,walking,1,fG1,1561
157,-2.60447,11.302,-4.12834,-5.12195,49.2073,-67.0122,walking,1,fG1,1571
158,-2.64521,13.7076,-4.35357,-29.8171,72.8659,-49.5732,walking,1,fG1,1581
159,-3.4335,14.1293,-2.57093,-44.6951,105.976,-35.122,walking,1,fG1,1591
160,-3.55569,13.504,-1.48553,-49.2683,117.561,-23.7805,walking,1,fG1,1601
161,-2.92075,12.627,-1.18603,-45.122,120.305,-17.5,walking,1,fG1,1611
162,-2.66677,11.4266,-1.66523,-48.1707,116.341,-13.7195,walking,1,fG1,1621
163,-2.53739,10.2574,-2.55416,-55.5488,113.11,-12.0122,walking,1,fG1,1631
164,-2.43915,9.48345,-3.03576,-68.1098,115.427,-9.93902,walking,1,fG1,1641
165,-2.74824,8.89163,-2.9495,-84.5732,120.366,-4.7561,walking,1,fG1,1651
166,-3.97979,8.16085,-2.80814,-92.5,112.744,4.02439,walking,1,fG1,1661
167,-5.1802,7.61695,-2.86804,-89.1463,86.8902,16.3415,walking,1,fG1,1671
168,-5.83191,7.28151,-3.17712,-82.6829,55.6098,31.7683,walking,1,fG1,1681
169,-6.10985,7.02274,-3.3688,-76.4024,29.1463,49.4512,walking,1,fG1,1691
170,-6.30393,6.63458,-3.35203,-70.8537,7.0122,67.8659,walking,1,fG1,1701
171,-6.58666,6.16017,-3.10285,-62.8049,-15.2439,85.2439,walking,1,fG1,1711
172,-6.90773,6.00443,-3.09805,-48.5976,-42.439,99.939,walking,1,fG1,1721
173,-6.90533,6.31112,-2.9495,-29.3902,-66.9512,109.756,walking,1,fG1,1731
174,-6.5627,6.72563,-2.11089,-7.5,-81.5244,112.439,walking,1,fG1,1741
